iter;dataset;cls;method;param;value;score
10;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;20;0.9726521910494822
10;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;3;0.9726521910494822
10;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;2;0.9726521910494822
10;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.9852755394525019;0.9726521910494822
10;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;5.225201368331909;0
11;turnaround_anon_sla_renamed;xgboost;cluster_index;colsample_bytree;0.7437632962587221;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;learning_rate;0.010911842016664952;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;max_depth;19;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;min_child_weight;2;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;n_clusters;43;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;subsample;0.9963791941493754;0.9046323094855832
11;turnaround_anon_sla_renamed;xgboost;cluster_index;processing_time;58.882946491241455;0
