Case ID;Activity;time:timestamp;end_timestamp;SLA MIN;case_end_time;case_start_time;duration;label;WIP
Case32;A33;2017-07-04 13:00:00+00:00;2017-07-04 13:00:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A50;2017-07-04 13:00:00+00:00;2017-07-04 13:00:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A40;2017-07-04 13:01:00+00:00;2017-07-04 13:03:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A35;2017-07-04 13:01:00+00:00;2017-07-04 13:01:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A4;2017-07-04 13:01:00+00:00;2017-07-04 13:01:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A12;2017-07-04 13:01:00+00:00;2017-07-04 13:14:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A10;2017-07-04 13:01:00+00:00;2017-07-04 13:14:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A6;2017-07-04 13:02:00+00:00;2017-07-04 13:02:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A26;2017-07-04 13:02:00+00:00;2017-07-04 13:08:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A8;2017-07-04 13:04:00+00:00;2017-07-04 13:04:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A17;2017-07-04 13:04:00+00:00;2017-07-04 13:04:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A37;2017-07-04 13:05:00+00:00;2017-07-04 13:09:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A23;2017-07-04 13:09:00+00:00;2017-07-04 13:09:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A24;2017-07-04 13:09:00+00:00;2017-07-04 13:11:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A29;2017-07-04 13:10:00+00:00;2017-07-04 13:17:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A25;2017-07-04 13:11:00+00:00;2017-07-04 13:11:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A15;2017-07-04 13:13:00+00:00;2017-07-04 13:18:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A18;2017-07-04 13:13:00+00:00;2017-07-04 13:20:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A34;2017-07-04 13:15:00+00:00;2017-07-04 13:15:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A7;2017-07-04 13:16:00+00:00;2017-07-04 13:16:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A27;2017-07-04 13:16:00+00:00;2017-07-04 13:27:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A13;2017-07-04 13:17:00+00:00;2017-07-04 13:41:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A11;2017-07-04 13:19:00+00:00;2017-07-04 13:41:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A16;2017-07-04 13:26:00+00:00;2017-07-04 13:26:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A19;2017-07-04 13:27:00+00:00;2017-07-04 13:27:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A9;2017-07-04 13:30:00+00:00;2017-07-04 13:30:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A30;2017-07-04 13:32:00+00:00;2017-07-04 13:17:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A5;2017-07-04 13:32:00+00:00;2017-07-04 13:32:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A36;2017-07-04 13:33:00+00:00;2017-07-04 13:33:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A32;2017-07-04 13:35:00+00:00;2017-07-04 13:35:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case32;A2;2017-07-04 13:35:00+00:00;2017-07-04 13:35:00+00:00;35.0;2017-07-04 13:41:00+00:00;2017-07-04 12:59:00+00:00;42.0;1;1
Case30;A0;2017-07-05 12:11:00+00:00;2017-07-05 12:13:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A31;2017-07-05 12:12:00+00:00;2017-07-05 12:12:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A4;2017-07-05 12:13:00+00:00;2017-07-05 12:13:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A1;2017-07-05 12:14:00+00:00;2017-07-05 12:14:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A8;2017-07-05 12:14:00+00:00;2017-07-05 12:14:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A3;2017-07-05 12:14:00+00:00;2017-07-05 12:15:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A6;2017-07-05 12:14:00+00:00;2017-07-05 12:14:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A26;2017-07-05 12:15:00+00:00;2017-07-05 12:29:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A14;2017-07-05 12:15:00+00:00;2017-07-05 12:15:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A12;2017-07-05 12:16:00+00:00;2017-07-05 12:26:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A10;2017-07-05 12:18:00+00:00;2017-07-05 12:29:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A28;2017-07-05 12:19:00+00:00;2017-07-05 12:32:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A17;2017-07-05 12:20:00+00:00;2017-07-05 12:20:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A20;2017-07-05 12:21:00+00:00;2017-07-05 12:21:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A15;2017-07-05 12:21:00+00:00;2017-07-05 12:33:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A29;2017-07-05 12:25:00+00:00;2017-07-05 12:45:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A18;2017-07-05 12:25:00+00:00;2017-07-05 12:30:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A11;2017-07-05 12:30:00+00:00;2017-07-05 12:40:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A7;2017-07-05 12:30:00+00:00;2017-07-05 12:30:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A21;2017-07-05 12:31:00+00:00;2017-07-05 12:36:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A16;2017-07-05 12:35:00+00:00;2017-07-05 12:35:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A19;2017-07-05 12:36:00+00:00;2017-07-05 12:36:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A27;2017-07-05 12:36:00+00:00;2017-07-05 12:41:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A22;2017-07-05 12:37:00+00:00;2017-07-05 12:37:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A9;2017-07-05 12:41:00+00:00;2017-07-05 12:41:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A30;2017-07-05 12:44:00+00:00;2017-07-05 12:47:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A5;2017-07-05 12:51:00+00:00;2017-07-05 12:51:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A2;2017-07-05 12:52:00+00:00;2017-07-05 12:52:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case30;A32;2017-07-05 12:52:00+00:00;2017-07-05 12:52:00+00:00;35.0;2017-07-05 12:52:00+00:00;2017-07-05 12:11:00+00:00;41.0;1;1
Case31;A0;2017-07-05 13:07:00+00:00;2017-07-05 13:09:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A1;2017-07-05 13:16:00+00:00;2017-07-05 13:16:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A3;2017-07-05 13:16:00+00:00;2017-07-05 13:18:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A33;2017-07-05 13:17:00+00:00;2017-07-05 13:17:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A35;2017-07-05 13:17:00+00:00;2017-07-05 13:17:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A23;2017-07-05 13:17:00+00:00;2017-07-05 13:17:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A24;2017-07-05 13:18:00+00:00;2017-07-05 13:20:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A26;2017-07-05 13:18:00+00:00;2017-07-05 13:23:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A46;2017-07-05 13:19:00+00:00;2017-07-05 13:19:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A44;2017-07-05 13:19:00+00:00;2017-07-05 13:19:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A10;2017-07-05 13:21:00+00:00;2017-07-05 13:28:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A25;2017-07-05 13:21:00+00:00;2017-07-05 13:21:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A4;2017-07-05 13:26:00+00:00;2017-07-05 13:26:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A14;2017-07-05 13:26:00+00:00;2017-07-05 13:26:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A11;2017-07-05 13:27:00+00:00;2017-07-05 14:36:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A7;2017-07-05 13:28:00+00:00;2017-07-05 13:28:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A15;2017-07-05 13:28:00+00:00;2017-07-05 13:33:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A12;2017-07-05 13:29:00+00:00;2017-07-05 13:31:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A8;2017-07-05 13:31:00+00:00;2017-07-05 13:31:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A6;2017-07-05 13:31:00+00:00;2017-07-05 13:31:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A9;2017-07-05 13:33:00+00:00;2017-07-05 13:33:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A47;2017-07-05 13:33:00+00:00;2017-07-05 13:33:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A37;2017-07-05 13:39:00+00:00;2017-07-05 13:45:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A20;2017-07-05 13:45:00+00:00;2017-07-05 13:45:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A38;2017-07-05 13:46:00+00:00;2017-07-05 13:46:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A21;2017-07-05 13:46:00+00:00;2017-07-05 13:59:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
